code,name,glottocode,glottocode_re0
xub,Betta Kurumba,bett1235,bett1235
kxv,Kuvi,kuvi1243,kuvi1243
oci,Occitan (Gascon),gasc1240,gasc1240
nrf,Jèrriais (Eastern Jersey),jerr1238,jerr1238
tks,Khalkhal,khal1271,khal1271
jdt,Juhuri,,
svm,Slavomolisano (Acquaviva Collecroce),slav1254,slav1254
sms,Skolt Saami (Suõʹnnʼjel),skol1241,skol1241
ude,Udihe (Bikin),biki1239,biki1239
alr,Alutor,alut1245,alut1245
tay,Atayal,atay1247,atay1247
brh,Brahui (Sarāwān),sara1314,sara1314
ckt,Chukchi,chuk1273,chuk1273
0,Darkhat,dark1243,dark1243
dta,Daur,daur1238,daur1238
ket,Ket (Kellog),,
urd,Urdu,urdu1245,urdu1245
guj,Gujarati (Standard),stan1296,stan1296
ckb,Sorani Kurdish,sora1257,sora1257
pbu,Yousafzai Pashto (Peshāwar),yusu1238,yusu1238
wne,Waneci,wane1241,wane1241
pst,Wazirwola (North Wazīrī),,
0,Northwestern Pashto,nort2647,nort2647
pbt,Southwestern Pashto (Kandahar),kand1291,kand1291
bgn,Western Balochi (Sarāwānī),sara1309,sara1309
bcc,Southern Balochi,sout2642,sout2642
bgp,Eastern Hill Balochi,east2304,east2304
lbe,Lak (Kumux),kumu1246,kumu1246
bsk,Burushaski (Hunza),hunz1248,hunz1248
udm,Udmurt (Standard),udmu1245,udmu1245
0,Beserman (Šamardan),,
0,Yodzyak Komi,,
koi,Komi-Permyak,komi1269,komi1269
kpv,Komi-Zyrian (Syktyvkar),komi1268,komi1268
abk,Abkhaz (Bzyb),bzyb1238,bzyb1238
0,Forest Nenets,fore1274,fore1274
yux,Kolyma Yukaghir,sout2750,sout2750
ykg,Tundra Yukaghir,nort2745,nort2745
sel,Taz Selkup,tazz1244,tazz1244
yrk,Tundra Nenets (Central-Eastern),nene1249,nene1249
lij,Ligurian (Miogliola),ligu1248,ligu1248
inh,Ingush,ingu1240,ingu1240
mon,Mongolian (Khalkha),,
vav,Varli (Dogri),,
ell,Greek (Standard),mode1248,mode1248
pol,Polish (Standard),poli1260,poli1260
slk,Slovak (Standard),slov1269,slov1269
tgk,Tajik (Bukhara),,
srp,Serbian (Standard Ekavian),serb1264,serb1264
mkd,Macedonian (Standard),mace1250,mace1250
niv,Nivkh (West Sakhalin),amur1242,amur1242
0,Solon,,
rmt,Domari (Palestinian),,
vep,Veps (Šimozero),,
krl,Karelian (North),nort2673,nort2673
liv,Livonian (Vidzeme),,
kca,Northern Khanty (Kazym),nort2672,nort2672
0,Eastern Khanty (Vakh),vach1239,vach1239
enf,Forest Enets,fore1265,fore1265
sjt,Ter Saami,ters1235,ters1235
xas,Kamassian,kama1378,kama1378
mhr,Meadow Mari (Morki-Sernur),gras1239,gras1239
0,Eastern Mari,,
mrj,Hill Mari (Kozmodemjansk),,
myv,Erzya (Standard),erzy1239,erzy1239
mdf,Moksha (Standard),moks1248,moks1248
ynk,Naukan Yupik,nauk1242,nauk1242
div,Dhivehi (Malé),dhiv1236,dhiv1236
gdo,Godoberi,ghod1238,ghod1238
itl,Itelmen,itel1242,itel1242
kpt,Karata,kara1474,kara1474
khr,Kharia (Dudh),dudh1239,dudh1239
bxr,Buriat (Standard),russ1264,russ1264
sva,Svan (Upper Bal),uppe1407,uppe1407
fin,Finnish (Standard),finn1318,finn1318
lvs,Latvian (Standard),stan1325,stan1325
ltg,Latgalian (Standard),east2282,east2282
lit,Lithuanian (West Aukštaitian),lith1251,lith1251
ekk,Estonian (Standard),esto1258,esto1258
ron,Romanian (Standard),roma1327,roma1327
aae,Arbëresh Albanian (Hora e Arbëreshëvet),arbe1236,arbe1236
ast,Asturian (Western),west2339,west2339
als,Tosk Albanian (Korçë),,
aln,Gheg Albanian (North-Eastern),nort3296,nort3296
lez,Lezgian (Güne),gjun1238,gjun1238
che,Chechen (Ploskost),plos1238,plos1238
sje,Pite Saami,pite1240,pite1240
sjd,Kildin Saami,kild1236,kild1236
wym,Wymysorys,wymy1235,wymy1235
dsb,Lower Sorbian,lowe1385,lowe1385
mvi,Miyako (Ogami),ogam1239,ogam1239
xug,Kunigami (Nakijin),kuni1268,kuni1268
mlt,Maltese (Standard),stan1322,stan1322
sro,Campidanese Sardinian (Sestu),,
isk,Ishkashimi,ishk1246,ishk1246
hsb,Upper Sorbian,uppe1395,uppe1395
wbl,Wakhi,wakh1245,wakh1245
bbl,Bats,bats1242,bats1242
kmr,Kurmanji Kurdish,nort2641,nort2641
puo,Ksingmul,puoc1238,puoc1238
pwn,Paiwan (Kulalao),paiw1248,paiw1248
roh,Vallader Romansh,,
lad,Judaeo-Spanish (Beiruti),,
rjs,Rājbanshi,rajb1243,rajb1243
ukr,Ukrainian,ukra1253,ukra1253
yai,Yaghnobi,yagn1238,yagn1238
xmf,Mingrelian (Zugdidi-Samurzaqano),ming1252,ming1252
mns,Northern Mansi (Sośva),nort2677,nort2677
mwl,Mirandese,mira1251,mira1251
isl,Icelandic,icel1247,icel1247
kbd,Kabardian,kaba1278,kaba1278
